id;year;clmhrs;prjhrs;;AE;AP;INP;LB;NM;OS;PD;PH
1;2022;167;30;;58;133;62;1720;100;1820;2461;4532
2;2022;147;13;;63;151;62;1937;132;1323;1315;3644
3;2022;152;25;;60;166;45;1813;122;2007;1295;3981
4;2022;146;48;;47;143;45;1856;113;1487;1593;4797
5;2022;138;21;;47;168;70;1901;129;1231;2429;4637
6;2022;148;51;;56;156;49;2069;135;1602;1495;3910
7;2022;163;35;;65;164;69;1983;86;2277;2011;4347
8;2022;168;23;;44;168;63;1668;106;1973;3147;4472
9;2022;154;44;;70;176;83;1992;54;1911;2196;4569
10;2022;168;33;;61;143;80;1997;79;2165;2049;4459
11;2022;148;12;;67;174;62;2015;114;2266;3132;4157
12;2022;157;14;;66;143;71;1740;55;2144;2228;3683
13;2022;155;17;;49;158;81;1930;149;1815;2884;3747
14;2022;140;41;;49;165;45;1737;51;2191;2934;4417
15;2022;162;53;;64;171;84;2085;107;2122;2432;4167
16;2022;151;37;;43;154;44;1848;114;1377;1377;4774
17;2022;142;50;;58;163;74;1987;146;1625;1301;4405
18;2022;138;48;;58;164;59;1814;74;1216;1463;3816
19;2022;139;36;;50;130;82;1723;77;1727;2889;4385
20;2022;142;41;;67;153;73;1652;124;1356;2925;3955
21;2022;166;26;;47;165;78;1926;62;2109;2427;3668
22;2022;155;34;;42;147;71;2030;58;1913;1613;4223
23;2022;139;20;;53;143;80;2014;108;1481;2733;4603
24;2022;161;28;;47;131;76;1828;94;1600;2850;3714
25;2022;161;43;;58;156;48;2014;116;1749;1852;4557
26;2022;156;50;;60;160;60;1854;56;1370;2415;3956
27;2022;157;20;;48;177;78;1782;98;1703;2483;3780
28;2022;144;13;;50;146;77;1782;58;2048;1789;4008
29;2022;148;14;;40;139;65;1788;55;1966;1280;4331
30;2022;168;39;;53;146;56;1773;148;1781;2478;3872
31;2022;157;12;;64;178;42;1738;52;1966;1313;3777
32;2022;168;27;;68;174;62;1734;103;1343;2559;4400
33;2022;143;33;;65;152;76;1859;109;1254;2595;4027
34;2022;163;13;;59;179;78;1813;97;2213;2125;4734
35;2022;140;47;;64;173;50;1916;145;1695;2898;4464
36;2022;149;23;;64;147;47;1823;66;1937;2257;3735
37;2022;151;20;;51;151;40;1989;76;1473;2898;4664
38;2022;154;46;;41;164;71;1880;72;1885;1948;3832
39;2022;154;21;;64;145;63;1862;50;1229;2350;3739
40;2022;164;36;;49;169;59;1901;84;2256;2325;4531
41;2022;143;54;;68;144;83;1849;121;2162;2292;4368
42;2022;155;40;;51;147;85;1760;79;1910;2331;3857
43;2022;137;37;;64;167;80;1970;80;1885;1726;4092
44;2022;137;21;;56;179;85;2046;129;1398;1485;4123
45;2022;137;37;;50;173;74;1901;59;1735;3146;3616
46;2022;150;11;;62;158;42;1878;132;1276;2360;4320
47;2022;135;16;;45;144;77;1661;55;1827;1828;4291
48;2022;137;27;;60;156;44;2088;146;1546;2945;4364
49;2022;155;12;;43;150;44;2099;149;2043;2377;3653
50;2022;152;39;;68;146;85;1869;85;2226;2658;3651
51;2022;157;49;;69;179;58;1673;78;1730;1454;3837
52;2022;150;29;;40;141;41;1960;77;2065;1244;3721
53;2022;137;49;;43;160;76;2048;76;1721;1995;3681
54;2022;148;42;;40;165;60;1710;143;1997;2297;4020
55;2022;137;19;;50;132;49;1998;84;1900;1907;3949
56;2022;145;20;;59;159;40;2020;143;1918;1474;4012
57;2022;158;44;;49;161;62;1817;107;1406;3051;4699
58;2022;168;14;;50;140;65;2095;111;2279;2728;3630
59;2022;166;14;;47;152;67;1687;56;1391;2716;4213
60;2022;165;53;;65;145;65;1739;102;2201;2826;4188
61;2022;164;20;;62;173;40;1879;128;2256;2018;3905
62;2022;156;33;;43;178;43;1839;67;1565;2713;4097
63;2022;143;44;;68;173;59;1787;126;1377;2890;4559
64;2022;155;10;;59;138;46;2096;76;1523;3054;4165
65;2022;142;31;;60;143;60;1765;75;1505;2953;4727
66;2022;136;13;;44;166;51;1967;134;1778;1682;3717
67;2022;144;16;;56;148;66;1663;108;1842;2973;3712
68;2022;151;12;;62;172;55;1770;101;2247;1432;3627
69;2022;168;33;;51;136;45;1710;94;1617;1979;4350
70;2022;154;40;;58;178;51;1752;58;1991;1955;4246
71;2022;147;52;;66;140;85;1674;106;1534;1375;4728
72;2022;167;47;;59;171;61;1895;70;1950;1424;4509
73;2022;143;36;;61;174;63;2001;110;1218;2773;3726
74;2022;137;20;;41;133;50;1783;92;2173;1822;4361
75;2022;162;18;;70;131;83;1851;69;1971;2901;4362
76;2022;153;41;;66;148;80;1842;55;1306;3185;4484
77;2022;137;54;;53;163;73;1879;148;1676;1643;3797
78;2022;154;39;;46;157;65;2027;109;1672;2343;4058
79;2022;135;39;;63;145;64;1838;59;2242;1693;4545
80;2022;139;38;;60;176;75;1756;97;1948;1962;4313
81;2022;145;10;;63;137;79;1691;79;1655;3064;4129
82;2022;154;14;;40;154;56;1666;50;1806;1617;3711
83;2022;163;32;;54;153;65;1907;139;1256;2679;3879
84;2022;144;31;;50;163;54;1732;71;1882;1822;4406
85;2022;162;39;;64;131;51;1935;74;1700;3083;4145
86;2022;144;44;;56;157;52;1694;107;1569;2510;3645
87;2022;160;53;;64;131;51;1754;115;1470;2498;3600
88;2022;152;12;;46;155;41;1848;58;1748;1378;4306
89;2022;145;45;;67;175;49;1821;126;2248;2191;4384
90;2022;137;37;;64;160;45;1696;51;1987;2611;4346
91;2022;165;20;;56;178;54;1908;92;1785;2398;4629
92;2022;152;21;;67;139;54;1666;143;2100;1440;4077
93;2022;159;20;;43;141;51;1897;149;2163;1369;4681
94;2022;143;50;;52;179;74;1931;50;2270;2864;3635
